Name,Lv,Exp,HP,MP,PhysAtk,MagicAtk,PhysDef,MagicDef,Spd,SP,Element,ResistFire,ResistLightning,ResistIce,ResistWind
スライム1,1,21,40,12,8,7,5,5,9,1,none,-20,0,0,0
スライム2,1,21,40,12,8,7,5,5,9,1,none,-20,0,0,0
スライム3,1,21,40,12,8,7,5,5,9,1,none,-20,0,0,0
ゴブリン1,2,27,50,14,10,9,6,6,10,1,none,0,0,0,0
ゴブリン2,2,27,50,14,10,9,6,6,10,1,none,0,0,0,0
ゴブリン3,2,27,50,14,10,9,6,6,10,1,none,0,0,0,0
オーク1,3,33,60,16,12,11,7,7,11,1,none,0,0,0,0
オーク2,3,33,60,16,12,11,7,7,11,1,none,0,0,0,0
オーク3,3,33,60,16,12,11,7,7,11,1,none,0,0,0,0
コボルト1,4,39,70,18,14,13,8,8,12,1,none,0,0,0,0
コボルト2,4,39,70,18,14,13,8,8,12,1,none,0,0,0,0
コボルト3,4,39,70,18,14,13,8,8,12,1,none,0,0,0,0
リザードマン1,5,45,80,20,16,15,9,9,13,2,none,0,0,-20,0
リザードマン2,5,45,80,20,16,15,9,9,13,2,none,0,0,-20,0
リザードマン3,5,45,80,20,16,15,9,9,13,2,none,0,0,-20,0
ワイルドウルフ1,6,51,90,22,18,17,10,10,14,2,none,0,0,0,0
ワイルドウルフ2,6,51,90,22,18,17,10,10,14,2,none,0,0,0,0
ワイルドウルフ3,6,51,90,22,18,17,10,10,14,2,none,0,0,0,0
ジャイアントバット1,8,63,110,26,22,21,12,12,16,2,wind,0,-20,0,20
ジャイアントバット2,8,63,110,26,22,21,12,12,16,2,wind,0,-20,0,20
ジャイアントバット3,8,63,110,26,22,21,12,12,16,2,wind,0,-20,0,20
マッドプラント1,10,75,130,30,26,25,14,14,18,3,none,-30,0,20,0
マッドプラント2,10,75,130,30,26,25,14,14,18,3,none,-30,0,20,0
マッドプラント3,10,75,130,30,26,25,14,14,18,3,none,-30,0,20,0
ストーンゴーレム1,12,87,150,34,30,29,16,16,20,3,none,20,-20,0,0
ストーンゴーレム2,12,87,150,34,30,29,16,16,20,3,none,20,-20,0,0
ストーンゴーレム3,12,87,150,34,30,29,16,16,20,3,none,20,-20,0,0
スケルトン1,14,99,170,38,34,33,18,18,22,3,none,-20,0,20,0
スケルトン2,14,99,170,38,34,33,18,18,22,3,none,-20,0,20,0
スケルトン3,14,99,170,38,34,33,18,18,22,3,none,-20,0,20,0
