Level,Slot,HP,MP,PhysAtk,MagicAtk,PhysDef,MagicDef,Spd,Luck
1,1,100,15,1,1,1000,1000,30,5
1,2,70,40,1,1,1000,1000,30,8
1,3,110,20,1,1,1000,1000,30,4
1,4,90,10,1,1,1000,1000,30,10
2,1,112,19,19,11,12,11,25,6
2,2,78,47,9,14,11,13,28,10
2,3,121,25,15,12,13,12,23,5
2,4,99,14,15,12,12,12,23,13
3,1,124,23,23,12,14,12,26,7
3,2,86,54,10,18,12,16,30,12
3,3,132,30,18,14,16,14,24,6
3,4,108,18,17,14,14,14,26,16
4,1,136,27,27,13,16,13,27,8
4,2,94,61,11,22,13,19,32,14
4,3,143,35,21,16,19,16,25,7
4,4,117,22,19,16,16,16,29,19
5,1,148,31,31,14,18,14,28,9
5,2,102,68,12,26,14,22,34,16
5,3,154,40,24,18,22,18,26,8
5,4,126,26,21,18,18,18,32,22
6,1,160,35,35,15,20,15,29,10
6,2,110,75,13,30,15,25,36,18
6,3,165,45,27,20,25,20,27,9
6,4,135,30,23,20,20,20,35,25
7,1,172,39,39,16,22,16,30,11
7,2,118,82,14,34,16,28,38,20
7,3,176,50,30,22,28,22,28,10
7,4,144,34,25,22,22,22,38,28
8,1,184,43,43,17,24,17,31,12
8,2,126,89,15,38,17,31,40,22
8,3,187,55,33,24,31,24,29,11
8,4,153,38,27,24,24,24,41,31
9,1,196,47,47,18,26,18,32,13
9,2,134,96,16,42,18,34,42,24
9,3,198,60,36,26,34,26,30,12
9,4,162,42,29,26,26,26,44,34
10,1,208,51,51,19,28,19,33,14
10,2,142,103,17,46,19,37,44,26
10,3,209,65,39,28,37,28,31,13
10,4,171,46,31,28,28,28,47,37
11,1,220,55,55,20,30,20,34,15
11,2,150,110,18,50,20,40,46,28
11,3,220,70,42,30,40,30,32,14
11,4,180,50,33,30,30,30,50,40
12,1,232,59,59,21,32,21,35,16
12,2,158,117,19,54,21,43,48,30
12,3,231,75,45,32,43,32,33,15
12,4,189,54,35,32,32,32,53,43
13,1,244,63,63,22,34,22,36,17
13,2,166,124,20,58,22,46,50,32
13,3,242,80,48,34,46,34,34,16
